track_name,artist,album,genres,popularity,explicit,cover_url
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)","Sevdaliza, Villano Antillano, Tokischa","Ride Or Die, Pt. 2","persian electronic, urbano latino, alternative r&b, rap latina, trap dominicano, rap boricua",78,True,https://i.scdn.co/image/ab67616d0000b27314c2bc6e79b87f232c38b547
Turn Down for What,"DJ Snake, Lil Jon",Turn Down for What,"dance pop, pop dance, dirty south rap, pop rap, crunk, pop, atl hip hop, southern hip hop, old school atlanta hip hop, electronic trap, trap, edm",68,False,https://i.scdn.co/image/ab67616d0000b273d905e78cad304de028db39b7
Bang Bang Bang Bang,Sohodolls,Ribbed Music For The Numb Generation,"sped up, electronic rock",62,False,https://i.scdn.co/image/ab67616d0000b273a57ae6e8c3df0d8f0b050cf7
9,"Dean Blunt, Panda Bear",ZUSHI,"indie rock, indietronica, noise pop, collage pop, uk experimental electronic, art pop, dream pop, chillwave, hypnagogic pop, experimental pop, chamber pop",64,False,https://i.scdn.co/image/ab67616d0000b2732d45d7d3434c1f8e6b240589
Neverender,"Justice, Tame Impala",Hyperdrama,"indietronica, alternative dance, filter house, dance-punk, electronica, rock, neo-psychedelic, australian psych, modern rock, new rave",67,False,https://i.scdn.co/image/ab67616d0000b2738f4b5df3a6ee2abb733080a9
The Hand That Feeds,Nine Inch Nails,With Teeth,"industrial metal, industrial rock, alternative metal, grunge, electronic rock, alternative rock, industrial, post-grunge, cyberpunk, rock, nu metal",61,False,https://i.scdn.co/image/ab67616d0000b273f489b4582e496de8f71e88da
100,Dean Blunt,BLACK METAL,"hypnagogic pop, collage pop, uk experimental electronic",65,False,https://i.scdn.co/image/ab67616d0000b2733c2ee58d5337713f62377a7e
The Look,Metronomy,The English Riviera,"indietronica, alternative dance, socal pop punk, neo-synthpop, french indie pop, electronica, new rave",72,False,https://i.scdn.co/image/ab67616d0000b2738ca7d89456553e4bbbf3c981
QKThr,Aphex Twin,Drukqs,"ambient, intelligent dance music, uk experimental electronic, electronica, braindance",66,False,https://i.scdn.co/image/ab67616d0000b2732e261a0b1b19d0ff95e346b3
Teardrop,"Massive Attack, Elizabeth Fraser",Mezzanine,"downtempo, trip hop, electronica, scottish indie, ethereal wave",70,False,https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e
D.A.N.C.E,Justice,Justice,"indietronica, alternative dance, filter house, dance-punk, electronica, new rave",65,False,https://i.scdn.co/image/ab67616d0000b2731c0bcf8b536295438d26c70d
High You Are (Branchez Remix),"What So Not, Branchez",High You Are (Remixes),"vapor twitch, aussietronica, escape room, electro house, brostep, electronic trap, edm",59,False,https://i.scdn.co/image/ab67616d0000b2732c9a82989cbb3deb021a7297
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",Carte Blanche,"dance pop, trap latino, pop dance, reggaeton colombiano, urbano latino, rap, pop rap, pop, southern hip hop, reggaeton, hip hop, electronic trap, trap, edm",71,False,https://i.scdn.co/image/ab67616d0000b273caf82abb2338880577e472be
One Three Nine,"Zeds Dead, Scrufizzer",One Three Nine,"dubstep, electro house, grime, brostep, progressive electro house, edm, canadian electronic",60,False,https://i.scdn.co/image/ab67616d0000b273dc1175c18080e7df2975e875
UCLA,"RL Grime, 24hrs",NOVA,"atl trap, trap soul, electro house, brostep, electronic trap, edm",59,True,https://i.scdn.co/image/ab67616d0000b273798f315e011d4ada702ce9bb
Head Like A Hole,Nine Inch Nails,Pretty Hate Machine,"industrial metal, industrial rock, alternative metal, grunge, electronic rock, alternative rock, industrial, post-grunge, cyberpunk, rock, nu metal",59,False,https://i.scdn.co/image/ab67616d0000b2739764c0993e45db213f0e359f
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",Carte Blanche,"dance pop, trap latino, pop dance, urbano latino, rap, puerto rican pop, pop, post-teen pop, reggaeton, electronic trap, edm",71,True,https://i.scdn.co/image/ab67616d0000b273caf82abb2338880577e472be
Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,"adult standards, easy listening, lounge, rockabilly",94,False,https://i.scdn.co/image/ab67616d0000b2737845f74d6db14b400fa61cd3
Last Christmas,Wham!,LAST CHRISTMAS,"new wave, soft rock, new wave pop, new romantic",94,False,https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d
Sleigh Ride,The Ronettes,A Christmas Gift For You From Phil Spector,"motown, classic girl group, rock-and-roll, brill building pop",88,False,https://i.scdn.co/image/ab67616d0000b273adad4220d51bd720481d4be4
Run Rudolph Run,Chuck Berry,Rock 'N' Roll Rarities,"blues rock, soul, rockabilly, rock, classic rock, rock-and-roll, blues",86,False,https://i.scdn.co/image/ab67616d0000b27339807cff601735a3dec9e24c
Sweater Weather,The Neighbourhood,I Love You.,"pop, modern rock, modern alternative rock",89,False,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
Blue Christmas,Elvis Presley,Elvis' Christmas Album,"rockabilly, rock-and-roll",86,False,https://i.scdn.co/image/ab67616d0000b273aa509be2dd24fb6c753cf292
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,McCartney II (Special Edition),"classic rock, mellow gold, soft rock, rock",88,False,https://i.scdn.co/image/ab67616d0000b2733cef016d13d82873d45af84a
Please Come Home for Christmas - 2013 Remaster,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),"soft rock, heartland rock, rock, classic rock, yacht rock, mellow gold, album rock",84,False,https://i.scdn.co/image/ab67616d0000b2736d4362a2b2e39422000f8ed3
505,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),"sheffield indie, permanent wave, garage rock, rock, modern rock",79,False,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90
Mr. Brightside,The Killers,Hot Fuss,"permanent wave, dance rock, alternative rock, rock, modern rock",85,False,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","J. Fred Coots, Bruce Springsteen","Santa Claus Is Comin' to Town (Live at C.W. Post College, Greenvale, NY - December 1975)","permanent wave, heartland rock, rock, mellow gold, singer-songwriter, tin pan alley",84,False,https://i.scdn.co/image/ab67616d0000b2736a68798b2ac41fde44823eb5
Little Saint Nick - 1991 Remix,The Beach Boys,The Beach Boys' Christmas Album,"psychedelic rock, rock, baroque pop, classic rock, mellow gold, singer-songwriter, folk rock, sunshine pop",83,False,https://i.scdn.co/image/ab67616d0000b27308c270b3ef1602ff84ed2c05
Take Me to Church,Hozier,Hozier (Expanded Edition),"pop, modern rock, irish singer-songwriter, pov: indie",79,False,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2
Happy Xmas (War Is Over) - Remastered 2010,"John Lennon, Yoko Ono",Signature Box,"classic rock, experimental, experimental pop, rock",88,False,https://i.scdn.co/image/ab67616d0000b27361a389971d7842d02b0623ab
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),"soft rock, rock, classic rock, yacht rock, album rock",84,False,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
I Wanna Be Yours,Arctic Monkeys,AM,"sheffield indie, permanent wave, garage rock, rock, modern rock",90,False,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
Too Sweet,Hozier,Unreal Unearth: Unaired,"pop, modern rock, irish singer-songwriter, pov: indie",79,False,https://i.scdn.co/image/ab67616d0000b2735aa29751874ca4ba06da8877
Iris,The Goo Goo Dolls,Dizzy up the Girl,"post-grunge, permanent wave, neo mellow, pop rock",87,False,https://i.scdn.co/image/ab67616d0000b273eda9478c39a21e1cdc6609ca
Step Into Christmas - Remastered 1995,Elton John,Caribou (Remastered 1995),"glam rock, rock, mellow gold, piano rock",84,False,https://i.scdn.co/image/ab67616d0000b27368f5959744717483eed212b2
Cigarette Daydreams,Cage The Elephant,Melophobia,"modern alternative rock, rock, pov: indie, modern rock, punk blues",78,False,https://i.scdn.co/image/ab67616d0000b273fb1cb900d28642e668d77b12
Creep,Radiohead,Pablo Honey,"permanent wave, oxford indie, alternative rock, rock, art rock, melancholia",85,True,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95
Riptide,Vance Joy,Dream Your Life Away (Deluxe Edition),"folk-pop, modern rock",84,False,https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7
Evergreen,Richy Mitch & The Coal Miners,RMCM,modern folk rock,84,False,https://i.scdn.co/image/ab67616d0000b2731cc17bae5ee17cce117e198a
Work Song,Hozier,Hozier (Expanded Edition),"pop, modern rock, irish singer-songwriter, pov: indie",77,False,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2
One Last Breath,Creed,Weathered,"post-grunge, rock, nu metal, alternative metal",80,False,https://i.scdn.co/image/ab67616d0000b273a32f2ae4dade83e0d7a294f4
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,"dance pop, pop, art pop",100,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,"pop, art pop",97,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,"dance pop, pop, urban contemporary",96,False,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f
Sailor Song,Gigi Perez,Sailor Song,bedroom pop,93,False,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53
Last Christmas,Wham!,LAST CHRISTMAS,"new wave, soft rock, new wave pop, new romantic",94,False,https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",indie pop,93,False,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,"canadian pop, rap, rage rap, canadian contemporary r&b, pop, atl hip hop, plugg, pluggnb",92,True,https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4
Santa Tell Me,Ariana Grande,Santa Tell Me,pop,92,False,https://i.scdn.co/image/ab67616d0000b273a1db745e63940bc06985dea5
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,"pop, art pop",92,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Underneath the Tree,Kelly Clarkson,Wrapped In Red,"dance pop, pop, talent show",82,False,https://i.scdn.co/image/ab67616d0000b273f54a315f1d2445791fe601a7
Taste,Sabrina Carpenter,Short n' Sweet,pop,91,False,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626
Feliz Navidad,José Feliciano,Feliz Navidad,"latin pop, puerto rican pop",83,False,https://i.scdn.co/image/ab67616d0000b273c8ac560f803bba4902f8bbc5
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,indie pop,87,False,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6
Sleigh Ride,The Ronettes,A Christmas Gift For You From Phil Spector,"motown, classic girl group, rock-and-roll, brill building pop",88,False,https://i.scdn.co/image/ab67616d0000b273adad4220d51bd720481d4be4
No One Noticed,The Marías,Submarine,"bedroom pop, la indie",85,False,https://i.scdn.co/image/ab67616d0000b2734d070fdf58fad8c54c5beb85
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,indie pop,85,False,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6
Sweater Weather,The Neighbourhood,I Love You.,"pop, modern rock, modern alternative rock",89,False,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
Stick Season,Noah Kahan,Stick Season,"singer-songwriter pop, pov: indie",86,False,https://i.scdn.co/image/ab67616d0000b2736ee35072df1af802cca09918
Snowman,Sia,Everyday Is Christmas (Deluxe Edition),pop,91,False,https://i.scdn.co/image/ab67616d0000b273d1410c1372fab1e516328fa8
Bed Chem,Sabrina Carpenter,Short n' Sweet,pop,88,False,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626
Mistletoe,Justin Bieber,Under The Mistletoe (Deluxe Edition),"pop, canadian pop",88,False,https://i.scdn.co/image/ab67616d0000b273af0aff7f601df9ed6d2d531d
Snooze,SZA,SOS,"pop, rap, r&b",87,True,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
Espresso,Sabrina Carpenter,Short n' Sweet,pop,89,True,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",F-1 Trillion,"dfw rap, contemporary country, melodic rap, pop, rap",84,True,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0
Juno,Sabrina Carpenter,Short n' Sweet,pop,86,True,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,A Winter Romance,"adult standards, easy listening, lounge, vocal jazz",91,False,https://i.scdn.co/image/ab67616d0000b2736d88028a85c771f37374c8ea
The Christmas Song (Merry Christmas To You),Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",86,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri René and His Orchestra",Heavenly Eartha,"torch song, man's orchestra, vocal jazz",84,False,https://i.scdn.co/image/ab67616d0000b273cfbcba7cc35a40e08e5aff67
Deck The Hall,Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",85,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),"adult standards, jazz pop, lounge, canadian pop",87,False,https://i.scdn.co/image/ab67616d0000b273119e4094f07a8123b471ac1d
Holly Jolly Christmas,Michael Bublé,Christmas (Deluxe Special Edition),"adult standards, jazz pop, lounge, canadian pop",86,False,https://i.scdn.co/image/ab67616d0000b273119e4094f07a8123b471ac1d
Joy To The World,Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",81,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
Christmas Time Is Here,Vince Guaraldi Trio,Charlie Brown Holiday Hits,jazz trio,78,False,https://i.scdn.co/image/ab67616d0000b273a1c6bc83f5404947ffb87891
Frosty The Snowman,Ella Fitzgerald,Ella Wishes You A Swinging Christmas (Expanded Edition),"adult standards, soul, swing, jazz blues, vocal jazz, jazz",81,False,https://i.scdn.co/image/ab67616d0000b27356849c42c652a7e4025fd6eb
Christmas Time Is Here - Vocal,Vince Guaraldi Trio,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],jazz trio,80,False,https://i.scdn.co/image/ab67616d0000b273644aec058f5a108fac6ec0fb
Sleigh Ride,Ella Fitzgerald,Ella Wishes You A Swinging Christmas (Expanded Edition),"adult standards, soul, swing, jazz blues, vocal jazz, jazz",80,False,https://i.scdn.co/image/ab67616d0000b27356849c42c652a7e4025fd6eb
"Baby, It's Cold Outside",Dean Martin,A Winter Romance,"adult standards, easy listening, lounge, vocal jazz",79,False,https://i.scdn.co/image/ab67616d0000b2736d88028a85c771f37374c8ea
Silver Bells,Dean Martin,The Dean Martin Christmas Album,"adult standards, easy listening, lounge, vocal jazz",79,False,https://i.scdn.co/image/ab67616d0000b273c7a9f0ea9b8bec1861217321
O Tannenbaum,Vince Guaraldi Trio,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],jazz trio,76,False,https://i.scdn.co/image/ab67616d0000b273644aec058f5a108fac6ec0fb
The Christmas Song (Merry Christmas To You),Nat King Cole,The Nat King Cole Story,"adult standards, soul, swing, easy listening, vocal jazz, lounge",79,False,https://i.scdn.co/image/ab67616d0000b273deac5adf07affb5fec422701
"Caroling, Caroling",Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",76,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
A Marshmallow World,Dean Martin,The Dean Martin Christmas Album,"adult standards, easy listening, lounge, vocal jazz",77,False,https://i.scdn.co/image/ab67616d0000b273c7a9f0ea9b8bec1861217321
Have Yourself A Merry Little Christmas,Judy Garland,Meet Me In St. Louis,"torch song, adult standards, vocal jazz",75,False,https://i.scdn.co/image/ab67616d0000b2737a4455634c11f5b75d6e2999
September,"Earth, Wind & Fire",September (sped up + slowed),"soul, funk, jazz funk, motown, disco",81,False,https://i.scdn.co/image/ab67616d0000b2730faf2fc17446651865ce2282
Linus And Lucy,Vince Guaraldi Trio,Charlie Brown Holiday Hits,jazz trio,73,False,https://i.scdn.co/image/ab67616d0000b273a1c6bc83f5404947ffb87891
Winter Wonderland,Michael Bublé,Christmas (Deluxe Special Edition),"adult standards, jazz pop, lounge, canadian pop",79,False,https://i.scdn.co/image/ab67616d0000b2732ead7786631d8dd3b59be4f0
Rudolph The Red-Nosed Reindeer,Dean Martin,A Winter Romance,"adult standards, easy listening, lounge, vocal jazz",80,False,https://i.scdn.co/image/ab67616d0000b2736d88028a85c771f37374c8ea
Holly Jolly Christmas,Michael Bublé,Christmas,"adult standards, jazz pop, lounge, canadian pop",71,False,https://i.scdn.co/image/ab67616d0000b27395517befb15ad5d63af701ab
O Come All Ye Faithful,Nat King Cole,The Christmas Song (Expanded Edition),"adult standards, soul, swing, easy listening, vocal jazz, lounge",73,False,https://i.scdn.co/image/ab67616d0000b27330dc6027fd140c7ba68e900c
(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay (Mono),"memphis soul, soul, soul blues, southern soul, vocal jazz, classic soul",78,False,https://i.scdn.co/image/ab67616d0000b2730acddc8ccf8d14858fbeddf5
Rockin' Around The Christmas Tree,Brenda Lee,Merry Christmas From Brenda Lee,"adult standards, easy listening, lounge, rockabilly",94,False,https://i.scdn.co/image/ab67616d0000b2737845f74d6db14b400fa61cd3
Last Christmas,Wham!,LAST CHRISTMAS,"new wave, soft rock, new wave pop, new romantic",94,False,https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d
Sleigh Ride,The Ronettes,A Christmas Gift For You From Phil Spector,"motown, classic girl group, rock-and-roll, brill building pop",88,False,https://i.scdn.co/image/ab67616d0000b273adad4220d51bd720481d4be4
Run Rudolph Run,Chuck Berry,Rock 'N' Roll Rarities,"blues rock, soul, rockabilly, rock, classic rock, rock-and-roll, blues",86,False,https://i.scdn.co/image/ab67616d0000b27339807cff601735a3dec9e24c
Sweater Weather,The Neighbourhood,I Love You.,"pop, modern rock, modern alternative rock",89,False,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
